district,population,P50_HI_r0,P50_HI_r1,P50_HI_r2,P50_HI_r3,P50_HI_r4,P95_ELCR_r0,P95_ELCR_r1,P95_ELCR_r2,P95_ELCR_r3,P95_ELCR_r4,P95_HI_r0,P95_HI_r1,P95_HI_r2,P95_HI_r3,P95_HI_r4,P_HI_gt_1_r0,P_HI_gt_1_r1,P_HI_gt_1_r2,P_HI_gt_1_r3,P_HI_gt_1_r4,P_HI_gt_2_r0,P_HI_gt_2_r1,P_HI_gt_2_r2,P_HI_gt_2_r3,P_HI_gt_2_r4,mean_HI_r0,mean_HI_r1,mean_HI_r2,mean_HI_r3,mean_HI_r4,mean_HI_cv_pct,P50_HI_cv_pct,P95_HI_cv_pct,P_HI_gt_1_cv_pct,P_HI_gt_2_cv_pct,P95_ELCR_cv_pct
Khulna,adult,0.09068619843076534,0.09172522437829003,0.08871473288441081,0.08859271229994062,0.09258702971757168,0.0070309187772677135,0.007122978823621316,0.00708976636722209,0.006633536141229257,0.007300855365515125,15.677957877719315,15.855856918651376,15.835165513578906,14.786526863759049,16.30014166720541,0.3004,0.2963,0.2952,0.2942,0.3009,0.231,0.2288,0.2278,0.2243,0.2329,2.8746407654731154,2.9120397619484586,3.129672598814345,2.8294455247919577,3.012264484357162,4.072608050361993,1.9704354419742278,3.544424287333152,1.030092379424368,1.4282037432233268,3.5004154732145425
Khulna,child,0.5218644187898233,0.44300137013767676,0.5003752220023711,0.5413266582929239,0.4754325560618118,0.0032462982878284936,0.0033311904863925186,0.0034714637868309595,0.0033673095121217237,0.0034800049638512645,84.31390482173417,86.49881294658829,90.24326354397435,87.40166839351885,90.29070735657892,0.4488,0.4411,0.4499,0.4536,0.4422,0.3921,0.3878,0.3882,0.3941,0.3854,16.737978912477775,16.608082261213088,17.108292004306026,17.070408091425733,17.322377322712168,1.7135035602981847,7.7850170806400945,2.914645844784496,1.1886720975608234,0.9013613597247264,2.9138833095340066
Mymensingh,adult,0.011402953340628852,0.011971287065021145,0.012780188418021542,0.011125295537956825,0.011526836610284634,0.003227278622435775,0.0029754330579447965,0.003263345013388815,0.0031419003094311426,0.003370067815249264,7.1913073392366975,6.635500986597107,7.268124640418828,7.0175323410781365,7.516306485233738,0.1911,0.1862,0.2003,0.1907,0.1952,0.1381,0.1306,0.1412,0.134,0.1409,1.3685291260792942,1.252691653989406,1.3491101641736718,1.3289645152651686,1.3605533074367344,3.5096787591062863,5.49398473458225,4.596716042361059,2.756013479662942,3.3461616604131,4.625359568073728
Mymensingh,child,0.0574497868003067,0.056623669858015785,0.05589435766939664,0.06526960350169775,0.05981212431544629,0.0014608257973842992,0.0015514230640692277,0.001499414638850377,0.0015327814565091703,0.0015710978675441785,37.908129010013305,40.24795453783649,38.90079164456239,39.80579826269626,40.76681809565499,0.3202,0.3202,0.318,0.3183,0.321,0.2672,0.267,0.2666,0.269,0.2713,7.509836447436825,7.923623651459722,7.686812761902004,7.543199655329517,7.434560607855393,2.533589859631576,6.434136992612864,2.870037489456515,0.41138328159616605,0.7279227417413014,2.8691387218383992
Rajshahi,adult,0.0001649336837979097,0.0001979930909327845,0.00017749610014679892,0.0002117230445345864,0.00013371029027365732,0.0014214322332404678,0.001536926181031411,0.0015326836510672253,0.0015023125893091187,0.001589087483834563,3.166561231286713,3.421178090985015,3.415676951256805,3.345039346282387,3.538852341142128,0.112,0.1068,0.1071,0.1066,0.1087,0.0705,0.0748,0.0753,0.0735,0.0782,0.6376607599447361,0.6669182364427726,0.6507262105370021,0.6746263155011711,0.6672375602577536,2.2716631437525328,17.087502111271974,4.052859900184194,2.0870122613100555,3.7635246669910827,4.063220544722548
Rajshahi,child,0.0011287414764963141,0.0010264268911074532,0.0009371880087617654,0.0009296387145648218,0.001019058871758174,0.0006992588812201647,0.0007553990224144888,0.0006935205641734279,0.0007149671812348775,0.0006827641109461037,18.151460990078807,19.59832058449217,18.007380840228862,18.566380562005552,17.71626173222016,0.2033,0.2021,0.2016,0.2025,0.2051,0.1638,0.1659,0.1645,0.164,0.1654,3.4294893178751256,3.6823145163348543,3.388037040893113,3.725465915650052,3.716380652758288,4.608435598897319,8.026524448123922,3.9797500219242163,0.6742610438197153,0.5487375686486929,3.995228522440191
Rangpur,adult,0.031158018613648517,0.032566018482233755,0.031915614821245525,0.029817522035790307,0.03073582110663392,0.0008271198807595723,0.0007629813083133767,0.0008061819977732243,0.0007774447252250336,0.0007841845490909671,1.8416451916526837,1.6995631595017873,1.7959976937654063,1.7301273158524435,1.7470548109569615,0.0999,0.0946,0.0974,0.0955,0.098,0.0441,0.0407,0.0429,0.0393,0.0432,0.36440868465034437,0.3478952383429755,0.3538822560112882,0.3401585133092467,0.3474070379429304,2.5812274519992955,3.3950235954879915,3.187865240000351,2.1575161214315877,4.702345877507732,3.1888341326842444
Rangpur,child,0.17757652796493445,0.1904425834924503,0.16889171419089846,0.17229107507340052,0.17494536119715823,0.0003707102079610144,0.0003568908515618163,0.0003714583647148815,0.0003758155642385061,0.00034644232748241627,9.618298369322842,9.260855831893734,9.637487069893156,9.754677821467153,8.997700485340891,0.2992,0.3013,0.294,0.3015,0.2994,0.2091,0.2168,0.204,0.2138,0.2138,2.0008832513551402,1.919002827766512,1.9559682450928717,1.982796553668769,1.9126489332497048,1.9761148122615224,4.672189411274722,3.3306584350571224,1.0128916568420918,2.372090400872043,3.3586798780751317
Sylhet,adult,0.3721815870815316,0.3778054489097958,0.3593807229322896,0.3881439019809718,0.37049475341983507,0.0029642743121581928,0.0028019552517365488,0.002908539293339993,0.0029294093249539947,0.002851451425748409,6.605225154256889,6.251988132362937,6.470377278177748,6.531010696589311,6.351353426484257,0.3283,0.3283,0.3262,0.3356,0.3254,0.2057,0.2024,0.2023,0.2091,0.2073,1.475141197996738,1.4256686180135105,1.4592046795024551,1.5062005976052468,1.4635959359880168,1.9823991840308754,2.817017656918941,2.1910741887633,1.2266519659744364,1.460686914757544,2.231233225616438
Sylhet,child,2.0396904053812133,1.983546577716284,1.9508304625822488,1.9085849468226863,1.9376985933077324,0.0013795314358671918,0.0013900735875626007,0.0014240652768201356,0.0014021785280694953,0.0013496313676285368,35.79471212538429,36.1179813949792,36.983888195756336,36.381371157205024,35.01111749650897,0.5995,0.6024,0.5984,0.5927,0.594,0.5035,0.4981,0.4955,0.4932,0.4941,8.206326507091864,8.174857937731803,8.249472794565877,8.153778616360247,7.976315643958911,1.2842429332660794,2.551723333520792,2.0241080481229075,0.6698819150908559,0.8327712627152546,1.9858785348486356
