district,population,output,input,spearman_rho,p_value,abs_rho,expected_sign,sign_matches,distinguishable_from_zero,sign_consistent,rank
Mymensingh,adult,HI,SA_m2,0.00751702092317021,0.45228036907983477,0.00751702092317021,1,True,False,True,5.0
Mymensingh,adult,ELCR,C_mg_per_L,0.9947541871195419,0.0,0.9947541871195419,1,True,True,True,1.0
Mymensingh,adult,ELCR,IR_L_per_day,0.06801380446413804,9.868009391918793e-12,0.06801380446413804,1,True,True,True,2.0
Mymensingh,adult,ELCR,BW_kg,-0.05106609827466098,3.233460648898454e-07,0.05106609827466098,-1,True,True,True,3.0
Mymensingh,adult,ELCR,EF_days_per_year,0.027542599787426,0.005879299722984413,0.027542599787426,1,True,False,True,4.0
Mymensingh,adult,ELCR,ET_h_per_day,-0.001115288891152889,0.9112079858754064,0.001115288891152889,0,True,False,True,6.0
Mymensingh,adult,ELCR,SA_m2,0.007411251098112511,0.4586675869356301,0.007411251098112511,0,True,False,True,5.0
Mymensingh,child,HI,C_mg_per_L,0.9934070953780709,0.0,0.9934070953780709,1,True,True,True,1.0
Mymensingh,child,HI,IR_L_per_day,0.07461936128619362,7.933359086378138e-14,0.07461936128619362,1,True,True,True,2.0
Mymensingh,child,HI,BW_kg,-0.04415258870152589,1.0014468163654082e-05,0.04415258870152589,-1,True,True,True,3.0
Mymensingh,child,HI,EF_days_per_year,0.02222392918223929,0.0262569905249214,0.02222392918223929,1,True,False,True,4.0
Mymensingh,child,HI,ET_h_per_day,-0.010467100568671006,0.2952804668046215,0.010467100568671006,1,False,False,True,5.0
Mymensingh,child,HI,SA_m2,-0.0022128153821281537,0.8248945503659271,0.0022128153821281537,1,False,False,True,6.0
Mymensingh,child,ELCR,C_mg_per_L,0.9933955627179555,0.0,0.9933955627179555,1,True,True,True,1.0
Mymensingh,child,ELCR,IR_L_per_day,0.07472684480726845,7.308145192443165e-14,0.07472684480726845,1,True,True,True,2.0
Mymensingh,child,ELCR,BW_kg,-0.044151361353513614,1.0020161350856762e-05,0.044151361353513614,-1,True,True,True,3.0
Mymensingh,child,ELCR,EF_days_per_year,0.022225450842254506,0.026246715158425464,0.022225450842254506,1,True,False,True,4.0
Mymensingh,child,ELCR,ET_h_per_day,-0.010506867741068677,0.2934494967598741,0.010506867741068677,0,True,False,True,5.0
Mymensingh,child,ELCR,SA_m2,-0.002256585502565855,0.8214887169257572,0.002256585502565855,0,True,False,True,6.0
Comilla,adult,HI,C_mg_per_L,0.9550047942460479,0.0,0.9550047942460479,1,True,True,True,1.0
Comilla,adult,HI,IR_L_per_day,0.22888095962080962,5.26211215638392e-119,0.22888095962080962,1,True,True,True,2.0
Comilla,adult,HI,BW_kg,-0.11065172360651723,1.2845239841091277e-28,0.11065172360651723,-1,True,True,True,3.0
Comilla,adult,HI,EF_days_per_year,0.05335057878550579,9.387767939515715e-08,0.05335057878550579,1,True,True,True,4.0
Comilla,adult,HI,ET_h_per_day,-0.020041994492419946,0.04505397410081521,0.020041994492419946,1,False,False,True,5.0
Comilla,adult,HI,SA_m2,-0.0012713107807131078,0.8988491918025133,0.0012713107807131078,1,False,False,True,6.0
Comilla,adult,ELCR,C_mg_per_L,0.9547876273158762,0.0,0.9547876273158762,1,True,True,True,1.0
Comilla,adult,ELCR,IR_L_per_day,0.2295884280278843,9.475164885190902e-120,0.2295884280278843,1,True,True,True,2.0
Comilla,adult,ELCR,BW_kg,-0.11061478329814783,1.3392145219392983e-28,0.11061478329814783,-1,True,True,True,3.0
Comilla,adult,ELCR,EF_days_per_year,0.053343473837434735,9.424691827806786e-08,0.053343473837434735,1,True,True,True,4.0
Comilla,adult,ELCR,ET_h_per_day,-0.020329523039295232,0.04206179416874873,0.020329523039295232,0,True,False,True,5.0
Comilla,adult,ELCR,SA_m2,-0.001583046699830467,0.8742322432195301,0.001583046699830467,0,True,False,True,6.0
Comilla,child,HI,C_mg_per_L,0.9500357829083578,0.0,0.9500357829083578,1,True,True,True,1.0
Comilla,child,HI,IR_L_per_day,0.224630300378303,1.3845467983496415e-114,0.224630300378303,1,True,True,True,2.0
Comilla,child,HI,BW_kg,-0.1516855316328553,1.5248885720408994e-52,0.1516855316328553,-1,True,True,True,3.0
Comilla,child,HI,EF_days_per_year,0.0544444299644443,5.099578853972692e-08,0.0544444299644443,1,True,True,True,4.0
