scenario,district,population,mean_HI,P50_HI,P95_HI,P_HI_gt_1,P_HI_gt_2,P95_ELCR,ratio_mean_HI,ratio_P50_HI,ratio_P95_HI,ratio_P_HI_gt_1,ratio_P_HI_gt_2,ratio_P95_ELCR,primary_mean_HI,primary_P50_HI,primary_P95_HI,primary_P_HI_gt_1,primary_P_HI_gt_2,primary_P95_ELCR
S4_child_bw_gamma,Barisal,child,34.825244252628934,1.8696339508914477,169.82963498070148,0.5563,0.4936,0.006545732726235797,0.9570937509558791,0.9815575442321415,0.9697625832444341,0.9965962020781082,0.9965677367252169,0.9703385137352907,36.38645035332002,1.9047624480885996,175.12496142356832,0.5582,0.4953,0.006745823888859346
S4_child_bw_gamma,Sylhet,child,7.90127472363422,2.0035896765250856,34.3085001079635,0.5971,0.5005,0.0013230486767286521,0.9628272427140182,0.9823008782308899,0.9584795650202529,0.995996663886572,0.9940417080436942,0.9590565624892529,8.206326507091864,2.0396904053812133,35.79471212538429,0.5995,0.5035,0.0013795314358671918
S4_child_bw_gamma,Rangpur,child,1.9232071300030595,0.17264486125345244,9.404424886467845,0.2966,0.2065,0.00036223764713687713,0.9611790836374522,0.9722279359327498,0.9777638959987832,0.9913101604278073,0.9875657580105212,0.977145056590866,2.0008832513551402,0.17757652796493445,9.618298369322842,0.2992,0.2091,0.0003707102079610144
S4_child_bw_gamma,Mymensingh,child,7.21507833500174,0.05634034794514421,37.02468861382317,0.3183,0.266,0.0014264659796654484,0.9607503952318843,0.980688547043371,0.9766952255555326,0.9940662086196129,0.9955089820359282,0.9764791819939282,7.509836447436825,0.0574497868003067,37.908129010013305,0.3202,0.2672,0.0014608257973842992
S4_child_bw_gamma,Comilla,child,60.727185710306905,20.060869989297515,247.42832252596378,0.8501,0.7995,0.009525335972389196,0.9611504559642069,0.976189518137342,0.9531417461508362,0.9984731031242658,0.9981273408239699,0.9525273591562389,63.18176861226852,20.550179669594765,259.5923675834967,0.8514,0.801,0.01000006548980059
S4_child_bw_gamma,Bogra,child,15.580400831187216,0.24123096026753962,32.377474475372985,0.3207,0.2433,0.0012474214708527865,0.9712139690459093,0.9736460268345253,0.9732815825079761,0.990426189005559,0.9894265961773078,0.9726970421694956,16.042191862718905,0.2477604320451232,33.266297294912235,0.3238,0.2459,0.0012824357603376153
S5_child_bw_0_71_months,Dhaka,child,21.91282161077699,0.6675002178654965,113.4440281500778,0.4713,0.415,0.004369928531768848,0.935788293192704,0.9320265087675565,0.9367526846034205,0.989087093389297,0.9827137106322519,0.9361675704420476,23.416430586041272,0.716181580230105,121.10349937038607,0.4765,0.4223,0.00466789137943052
S5_child_bw_0_71_months,Chittagong,child,8.69134809443015,1.123946047150569,32.21583817334841,0.5242,0.3896,0.0012407738178746397,0.9370165815367791,0.9311971278111333,0.9280553343327487,0.9752558139534884,0.9657907783837383,0.9276262466323574,9.275554206496189,1.2069904573186454,34.71327299304937,0.5375,0.4034,0.001337579464120522
S5_child_bw_0_71_months,Rajshahi,child,3.208872356011757,0.0010501740265354926,16.885107494897298,0.1991,0.1594,0.0006493408637359384,0.9356706082408618,0.9303937601330112,0.9302340733964242,0.9793408755533693,0.973137973137973,0.9286129660632665,3.4294893178751256,0.0011287414764963141,18.151460990078807,0.2033,0.1638,0.0006992588812201647
S5_child_bw_0_71_months,Khulna,child,15.673180335256266,0.4844987749332052,78.52724470759007,0.4424,0.3858,0.0030243380879335815,0.9363842801577599,0.9283997097497717,0.9313676655543484,0.9857397504456329,0.9839326702371843,0.9316266774599493,16.737978912477775,0.5218644187898233,84.31390482173417,0.4488,0.3921,0.0032462982878284936
S5_child_bw_0_71_months,Barisal,child,34.062499695821145,1.7660582774722604,164.18922874285553,0.5517,0.4892,0.0063249894915203605,0.9361314270852795,0.9271803311979786,0.9375546889956884,0.988355428161949,0.98768423177872,0.9376155671608936,36.38645035332002,1.9047624480885996,175.12496142356832,0.5582,0.4953,0.006745823888859346
S5_child_bw_0_71_months,Sylhet,child,7.677697040817968,1.8961893033486534,32.983228377442565,0.5889,0.4901,0.0012708466333948695,0.9355826914981926,0.9296456454107114,0.9214553328968409,0.9823185988323602,0.9733862959285006,0.9212161465505122,8.206326507091864,2.0396904053812133,35.79471212538429,0.5995,0.5035,0.0013795314358671918
S5_child_bw_0_71_months,Rangpur,child,1.8748956335198887,0.16522333989130206,8.983028523305247,0.2894,0.2006,0.000346257162830365,0.937033998485457,0.9304345669148811,0.933951950581637,0.9672459893048128,0.959349593495935,0.934037302978123,2.0008832513551402,0.17757652796493445,9.618298369322842,0.2992,0.2091,0.0003707102079610144
S5_child_bw_0_71_months,Mymensingh,child,7.034037902120375,0.053558743528944214,35.4558685539617,0.3155,0.263,0.0013648445298475107,0.9366432879535154,0.9322705359223071,0.9353104328782924,0.9853216739537789,0.9842814371257486,0.9342965686198526,7.509836447436825,0.0574497868003067,37.908129010013305,0.3202,0.2672,0.0014608257973842992
