district,population,statistic,primary_value,outer_replicates,param_unc_median,param_unc_q025,param_unc_q975,interval_width_over_primary
Chittagong,child,mean_HI,9.275554206496189,994,8.684622451364284,2.2481527223797038,39.84943249888839,4.053804111259941
Chittagong,child,P50_HI,1.2069904573186454,994,1.204279904529858,0.6861307567396205,2.388537536026258,1.4104558730883172
Chittagong,child,P95_HI,34.71327299304937,994,32.708117200403066,8.957090708062589,123.178319223484,3.2904194467139956
Chittagong,child,P_HI_gt_1,0.5375,994,0.53735,0.402865,0.6466,0.4534604651162791
Chittagong,child,P_HI_gt_2,0.4034,994,0.4,0.2417925,0.5323024999999999,0.7201536936043628
Chittagong,child,P95_ELCR,0.001337579464120522,994,0.0012600480989650397,0.00034515843106045456,0.004745027405227271,3.2894262301341435
Rajshahi,adult,mean_HI,0.6376607599447361,1000,0.636423349697717,0.23411627409085095,1.2302885537742454,1.5622292326247726
Rajshahi,adult,P50_HI,0.0001649336837979097,1000,0.000187561594319411,1.9993431212991867e-07,0.007897382102901421,47.88095425228946
Rajshahi,adult,P95_HI,3.166561231286713,1000,3.0950716100328988,1.135785707012442,6.151394607524831,1.5839292324293148
Rajshahi,adult,P_HI_gt_1,0.112,1000,0.111,0.055295000000000004,0.17111749999999998,1.034129464285714
Rajshahi,adult,P_HI_gt_2,0.0705,1000,0.06964999999999999,0.029097500000000002,0.12180250000000001,1.3149645390070925
Rajshahi,adult,P95_ELCR,0.0014214322332404678,1000,0.0013899261999372784,0.0005099189493009904,0.0027597812024230226,1.5828135879492304
Rajshahi,child,mean_HI,3.4294893178751256,1000,3.4217723452799236,1.2695657558218212,6.655159684345992,1.5703778111958155
Rajshahi,child,P50_HI,0.0011287414764963141,1000,0.001286189391720326,1.6261390672987006e-06,0.047577098517950105,42.14913101852173
Rajshahi,child,P95_HI,18.151460990078807,1000,17.614152096110082,6.525864833941673,34.68498040831116,1.5513415470942338
Rajshahi,child,P_HI_gt_1,0.2033,1000,0.20325,0.12858999999999998,0.29089249999999983,0.7983398917855379
Rajshahi,child,P_HI_gt_2,0.1638,1000,0.1633,0.10058,0.24001749999999997,0.8512667887667885
Rajshahi,child,P95_ELCR,0.0006992588812201647,1000,0.000678827770615534,0.00025158092308814975,0.00133620096129995,1.551099410162948
Khulna,adult,mean_HI,2.8746407654731154,1000,2.8447351467892954,1.3571971291714757,4.542250620076313,1.1079831362443764
Khulna,adult,P50_HI,0.09068619843076534,1000,0.094804197009688,0.015011371682081715,0.37051288149780137,3.920128045582685
Khulna,adult,P95_HI,15.677957877719315,1000,15.43280586048779,7.488511064625369,24.588242904522613,1.0906861705629711
Khulna,adult,P_HI_gt_1,0.3004,1000,0.2988,0.215,0.39287749999999994,0.5921354860186416
Khulna,adult,P_HI_gt_2,0.231,1000,0.22825,0.1555875,0.3076,0.6580627705627705
Khulna,adult,P95_ELCR,0.0070309187772677135,1000,0.006928929256327498,0.0033575628301220407,0.011036049958371975,1.092102948632536
Khulna,child,mean_HI,16.737978912477775,1000,16.611254568990674,7.926666450695939,26.412852926193853,1.104445558938833
Khulna,child,P50_HI,0.5218644187898233,1000,0.5423023121116541,0.08767469877353805,2.0526207109011843,3.7652423529549206
Khulna,child,P95_HI,84.31390482173417,1000,82.90497079284793,40.05285200960355,132.5833323210956,1.0974521996950597
Khulna,child,P_HI_gt_1,0.4488,1000,0.45,0.349495,0.5666,0.4837455436720143
Khulna,child,P_HI_gt_2,0.3921,1000,0.3923,0.299175,0.5024,0.5182989033409843
Khulna,child,P95_ELCR,0.0032462982878284936,1000,0.0031931839568227318,0.0015423409894324324,0.005103972611181078,1.0971362782965592
Barisal,adult,mean_HI,6.397414613738818,1000,5.880979461322015,1.9572179629545146,10.49917844248391,1.335220709501154
Barisal,adult,P50_HI,0.3796546091912346,1000,0.44573900584992365,0.18226180485046675,0.9793339413119186,2.0994665076223566
Barisal,adult,P95_HI,32.05888754831625,1000,29.09604738212935,9.60827796941305,51.82888984886454,1.3169705847035524
Barisal,adult,P_HI_gt_1,0.412,1000,0.42225,0.30939,0.4980175,0.4578337378640777
Barisal,adult,P_HI_gt_2,0.3379,1000,0.34335,0.2250925,0.424815,0.5910698431488607
Barisal,adult,P95_ELCR,0.014395427689211133,1000,0.013063485910410219,0.0043116634346351285,0.023288139367210803,1.3182293949347457
Barisal,child,mean_HI,36.38645035332002,1000,33.27794475656991,11.016837596967374,59.18819292823592,1.3238816884723472
Barisal,child,P50_HI,1.9047624480885996,1000,2.243139227855435,0.9121766693323269,4.998315948291813,2.145222509536486
