DISTRICT,n,n_detected,n_censored,censoring_percent,rkm_points,rkm_censoring_fraction,censoring_above_detection,distribution,ls_mu,ls_sigma,ls_converged,ls_message,ls_n_starts,ls_best_start,objective_region,objective_points,objective_points_total,cdf_sse,cdf_rmse,cdf_max_discrepancy,cdf_max_discrepancy_all_points,support_lower,support_starts_at_zero,prob_arsenic_nonpositive,mle_mu,mle_sigma,mle_converged,mle_message,mle_loglikelihood,mle_k,aic,aicc,mle_censored_loglikelihood,mle_loglik_matches_recompute,ls_mle_max_rel_param_diff,empirical_P1_mgL,fitted_P1_mgL,empirical_P5_mgL,fitted_P5_mgL,empirical_P50_mgL,fitted_P50_mgL,empirical_P95_mgL,fitted_P95_mgL,empirical_P99_mgL,fitted_P99_mgL,tail_max_rel_quantile_error,admissible,inadmissible_reason,zero_location_enforced,ls_mu_log,ls_sigma_log,mle_mu_log,mle_sigma_log,ls_shape_k,ls_scale_theta,mle_shape_k,mle_scale_theta,rmse_rank,aicc_rank,admissible_rmse_rank,high_censoring_warning,minimum_detected_As_mgL,selected,district_index
Rangpur,86,47,39,45.35,40,0.4534883721,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,39,40,0.005085055304,0.01141867039,0.02268137041,0.4534883721,0,True,0,,,True,scipy.stats censored fit converged,112.832594,2,-221.665188,-221.5206097,112.832594,True,0.3914899373,0.0005,3.273384247e-12,0.0005,8.216072267e-09,0.0006,0.0006119442261,0.02384,0.02807092714,0.081538,0.05951743769,0.9999999935,True,,True,,,,,0.2055995405,0.02669073393,0.1848294951,0.04386243641,1,2,1,False,0.0005,True,6
Mymensingh,108,56,52,48.15,49,0.4814814815,False,Normal,-0.01790780899,0.05390148812,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,48,49,0.08383358897,0.04179154345,0.1428988043,0.1486615459,-inf,False,0.6301430274,-0.005715386836,0.05374002759,True,scipy.stats censored fit converged,50.6356061,2,-97.2712122,-97.15692648,50.6356061,True,2.133262805,0.0005,-0.1433014213,0.0005,-0.1065678672,0.000525,-0.01790780899,0.0778,0.07075224925,0.16612,0.1074858033,287.6028426,False,P(C<=0)=6.301e-01 >= 1e-04,False,,,,,,,,,3,3,,False,0.0005,False,7
Mymensingh,108,56,52,48.15,49,0.4814814815,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,48,49,0.04520026098,0.03068667632,0.06366019881,0.4814814815,0,True,0,,,True,scipy.stats censored fit converged,86.68284772,2,-169.3656954,-169.2514097,86.68284772,True,0.2147678591,0.0005,4.362213214e-08,0.0005,6.508082716e-07,0.000525,0.0004430016085,0.0778,0.3015487567,0.16612,4.498872831,26.08206616,True,,True,-7.721937157,3.965771475,-7.373881322,3.264633194,,,,,2,2,2,False,0.0005,False,7
Mymensingh,108,56,52,48.15,49,0.4814814815,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,48,49,0.02532029994,0.02296750419,0.05783697222,0.4814814815,0,True,0,,,True,scipy.stats censored fit converged,91.61499241,2,-179.2299848,-179.1156991,91.61499241,True,0.7467803506,0.0005,7.716974884e-20,0.0005,1.743477755e-13,0.000525,0.0002149467351,0.0778,0.1212612418,0.16612,0.3185770207,1,True,,True,,,,,0.1100052532,0.1913140906,0.1445362053,0.1095238394,1,1,1,False,0.0005,True,7
Comilla,110,101,9,8.18,93,0.05244755245,False,Normal,0.1124064596,0.1495774402,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,91,93,0.168700765,0.04305641137,0.1648528503,0.1747370936,-inf,False,0.2261778847,0.1345462565,0.1581741393,True,scipy.stats censored fit converged,33.80369293,2,-63.60738585,-63.49523632,33.80369293,True,0.1645515641,0.0008,-0.2355627004,0.0008,-0.1336265354,0.109,0.1124064596,0.409,0.3584394545,0.6537,0.4603756195,295.4533755,False,P(C<=0)=2.262e-01 >= 1e-04,False,,,,,,,,,1,3,,False,0.0008,False,8
Comilla,110,101,9,8.18,93,0.05244755245,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,91,93,0.8619928256,0.09732650529,0.1603817034,0.1603817034,0,True,0,,,True,scipy.stats censored fit converged,50.53982835,2,-97.07965671,-96.96750718,50.53982835,True,0.1108744658,0.0008,0.0002454545309,0.0008,0.001205504696,0.109,0.05616207484,0.409,2.616479771,0.6537,12.85035822,18.65788316,True,,True,-2.879513575,2.335370958,-3.238590575,2.284209744,,,,,3,2,2,False,0.0008,False,8
Comilla,110,101,9,8.18,93,0.05244755245,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,91,93,0.4010854818,0.06638925189,0.1086469822,0.1086469822,0,True,0,,,True,scipy.stats censored fit converged,72.72076477,2,-141.4415295,-141.32938,72.72076477,True,0.3876468806,0.0008,8.309871457e-06,0.0008,0.0003323468684,0.109,0.07316799492,0.409,0.7390224093,0.6537,1.310655076,1.004979465,True,,True,,,,,0.4363751162,0.4201443805,0.4676032011,0.302774709,2,1,1,False,0.0008,True,8
Bogra,94,64,30,31.91,46,0.3191489362,False,Normal,-0.003603414117,0.02379983639,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,45,46,0.2555231317,0.07535444125,0.2173799573,0.2410229392,-inf,False,0.5601718754,-0.00481621937,0.08599596878,True,scipy.stats censored fit converged,46.16413515,2,-88.3282703,-88.19640217,46.16413515,True,0.7232447436,0.0005,-0.05897011289,0.0005,-0.04275066132,0.001,-0.003603414117,0.07422,0.03554383308,0.17892,0.05176328466,118.9402258,False,P(C<=0)=5.602e-01 >= 1e-04,False,,,,,,,,,3,3,,False,0.0005,False,9
Bogra,94,64,30,31.91,46,0.3191489362,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,45,46,0.04663806754,0.03219319029,0.06889870705,0.3191489362,0,True,0,,,True,scipy.stats censored fit converged,175.1515066,2,-346.3030133,-346.1711452,175.1515066,True,0.1900183565,0.0005,1.144322174e-06,0.0005,8.046288876e-06,0.001,0.000891308189,0.07422,0.09873250887,0.17892,0.6942365583,2.880150672,True,,True,-7.022820299,2.861944191,-6.637790699,2.404958021,,,,,1,1,1,False,0.0005,True,9
Bogra,94,64,30,31.91,46,0.3191489362,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,45,46,0.08620130994,0.04376739272,0.1256972224,0.3191489362,0,True,0,,,True,scipy.stats censored fit converged,164.4639183,2,-324.9278366,-324.7959685,164.4639183,True,0.2659864878,0.0005,4.854181863e-14,0.0005,7.161761706e-10,0.001,0.000665578085,0.07422,0.05821433281,0.17892,0.1312349188,0.9999999999,True,,True,,,,,0.1676627801,0.06456781641,0.1998755322,0.08796543298,2,2,2,False,0.0005,False,9
