run_id,district,population,N,replicate,metric,mean,sd,min,max,P5,P25,P50,P75,P90,P95,P99,P_gt_1,P_gt_1_mc_se,P_gt_1_wilson_lo,P_gt_1_wilson_hi,P_gt_2,P_gt_2_mc_se,P_gt_2_wilson_lo,P_gt_2_wilson_hi,P_gt_0.0001,P_gt_0.0001_mc_se,P_gt_0.0001_wilson_lo,P_gt_0.0001_wilson_hi
chittagong_adult_N10000_r0,Chittagong,adult,10000,0,HI,1.8246615078488448,9.253398671308195,0.00012772893323025338,371.8227412485598,0.0074328557209842674,0.05722170192399702,0.2297410929617673,0.8908598170778858,3.1669248836029147,6.663347732213144,29.001919139764297,0.2321,0.0042217246475818385,0.2239293941459369,0.24047635218107158,0.1425,0.0034956222622016813,0.1357859257888288,0.1494886330462049,,,,
chittagong_adult_N10000_r0,Chittagong,adult,10000,0,ELCR,0.0008189634726958632,0.004154910887952664,5.731210673781413e-08,0.1670288360827114,3.331461911510222e-06,2.5607582221230375e-05,0.00010310469180123477,0.0003992891178762863,0.0014228007205658335,0.0029942951442597484,0.01301610605108115,,,,,,,,,0.5062,0.004999615585222528,0.49640043403067696,0.5159948043895265
chittagong_adult_N10000_r0,Chittagong,adult,10000,0,ELCR_ED_AT,0.0008189634726958632,0.004154910887952664,5.731210673781413e-08,0.1670288360827114,3.331461911510222e-06,2.5607582221230375e-05,0.00010310469180123477,0.0003992891178762863,0.0014228007205658335,0.0029942951442597484,0.01301610605108115,,,,,,,,,0.5062,0.004999615585222528,0.49640043403067696,0.5159948043895265
chittagong_adult_N10000_r0,Chittagong,adult,10000,0,HQ_ing,1.8199188282130294,9.233135306561476,0.00012736023719514252,371.17519129491427,0.007403248692244939,0.05690573826940084,0.22912153733607726,0.8873091508361919,3.161779379035186,6.653989209466108,28.924680113513666,,,,,,,,,,,,
chittagong_adult_N10000_r0,Chittagong,adult,10000,0,HQ_dermal,0.004742679635815511,0.023040286688988904,2.3579497494598346e-07,0.8114177426909376,2.280736712792487e-05,0.000166493500670553,0.000637389299662138,0.0024470484074286284,0.00842334890178076,0.018024586716437974,0.06989633984013059,,,,,,,,,,,,
chittagong_child_N10000_r0,Chittagong,child,10000,0,HI,9.275554206496189,51.41842786142946,0.00010010449917273279,3132.035475622835,0.038856749099582456,0.2877745047896879,1.2069904573186454,4.623781853025433,16.669758134279736,34.71327299304937,138.24184436938273,0.5375,0.004985917668794783,0.5277152468270233,0.5472559532951758,0.4034,0.00490579697908505,0.3938236835670919,0.4130505049181226,,,,
chittagong_child_N10000_r0,Chittagong,child,10000,0,ELCR,0.0003573736161228779,0.0019816707863663835,3.856503077782483e-09,0.12073051590976383,1.495644293134311e-06,1.1082591425944575e-05,4.649490515539777e-05,0.00017820731916257,0.0006426554360193114,0.001337579464120522,0.005325633817365514,,,,,,,,,0.3526,0.004777794888858248,0.3432939224727348,0.36201928024694063
chittagong_child_N10000_r0,Chittagong,child,10000,0,ELCR_ED_AT,0.004169358854766909,0.02311949250760781,4.4992535907462295e-08,1.408522685613911,1.74491834199003e-05,0.00012929689996935334,0.0005424405601463074,0.002079085390229984,0.0074976467535586315,0.015605093748072759,0.06213239453593099,,,,,,,,,0.7859,0.004101965260701265,0.7777513047665756,0.7938291249650715
chittagong_child_N10000_r0,Chittagong,child,10000,0,HQ_ing,9.26524189948202,51.37665001690624,9.9983413127694e-05,3130.0504124753584,0.038775963155334,0.2873264443763408,1.2054234669917943,4.6201897560666305,16.661437230130293,34.67798610682836,138.07198785762444,,,,,,,,,,,,
chittagong_child_N10000_r0,Chittagong,child,10000,0,HQ_dermal,0.010312307014168793,0.047072940439190324,1.2108604503878715e-07,1.9850631474763227,5.0376656530473426e-05,0.0003602860641976918,0.0014567343197214233,0.005611836326529951,0.0187446769902914,0.0407774726718114,0.1621717844134449,,,,,,,,,,,,
